Area & Sub-group,Product,Product Price,Order Time,Length (cm),Width (cm),Height (cm),Weight (kg)
Taguig A,Product-3,329.03,2024-10-21 07:20:13.016322,9.95,5.85,19.12,1.94
Taguig A,Product-27,300.73,2024-10-24 07:20:13.016330,46.42,44.28,38.11,1.09
Makati C,Product-14,324.35,2024-10-22 07:20:13.016338,26.53,21.96,48.05,4.87
Taguig B,Product-35,241.71,2024-10-19 07:20:13.016346,44.04,35.63,41.16,3.01
Quezon City A,Product-16,211.6,2024-11-03 07:20:13.016354,15.12,48.78,18.39,3.25
Makati C,Product-46,295.6,2024-10-28 07:20:13.016361,20.7,47.02,40.79,3.1
Makati C,Product-44,317.28,2024-10-15 07:20:13.016369,49.11,41.83,47.96,8.14
Quezon City A,Product-19,482.13,2024-11-10 07:20:13.016377,20.59,24.91,16.54,5.05
Makati C,Product-18,473.21,2024-10-21 07:20:13.016385,17.22,9.92,38.34,2.77
Makati C,Product-34,190.27,2024-11-05 07:20:13.016393,7.36,23.6,37.28,1.46
